Date  ,Open  ,High  ,Low  ,Close      Close price adjusted for splits.   ,Adj Close      Adjusted close price adjusted for splits and dividend and/or capital gain distributions.   ,Volume  
"Dec 19, 2024","3,619.58","3,717.66","3,330.87","3,417.93","3,417.93","58,879,190,250"
"Dec 18, 2024","3,886.89","3,902.72","3,617.84","3,618.79","3,618.79","48,946,681,636"
"Dec 17, 2024","3,987.33","4,040.34","3,849.29","3,886.77","3,886.77","35,418,700,472"
"Dec 16, 2024","3,951.65","4,106.96","3,882.71","3,987.48","3,987.48","46,536,359,669"
"Dec 15, 2024","3,868.44","3,971.50","3,832.10","3,951.94","3,951.94","25,069,616,984"
"Dec 14, 2024","3,910.85","3,943.28","3,826.76","3,868.41","3,868.41","28,756,190,559"
"Dec 13, 2024","3,883.03","3,967.40","3,855.02","3,911.21","3,911.21","34,895,127,659"
"Dec 12, 2024","3,833.17","3,987.01","3,800.09","3,883.10","3,883.10","42,971,675,764"
"Dec 11, 2024","3,631.28","3,850.77","3,567.57","3,832.82","3,832.82","35,968,053,196"
"Dec 10, 2024","3,719.00","3,780.75","3,520.37","3,631.83","3,631.83","58,416,417,599"
"Dec 9, 2024","4,006.10","4,008.78","3,525.23","3,718.69","3,718.69","57,029,832,059"
"Dec 8, 2024","4,007.69","4,018.00","3,927.85","4,005.70","4,005.70","20,943,378,971"
"Dec 7, 2024","4,006.03","4,029.45","3,974.18","4,002.69","4,002.69","22,574,636,761"
"Dec 6, 2024","3,792.21","4,093.17","3,782.68","4,005.81","4,005.81","52,853,668,566"
"Dec 5, 2024","3,840.84","3,956.54","3,683.42","3,811.01","3,811.01","60,568,296,606"
"Dec 4, 2024","3,620.04","3,895.17","3,617.74","3,841.33","3,841.33","56,799,745,752"
"Dec 3, 2024","3,643.74","3,670.22","3,504.23","3,620.71","3,620.71","36,839,829,742"
"Dec 2, 2024","3,710.50","3,761.34","3,557.25","3,644.20","3,644.20","47,284,967,570"
"Dec 1, 2024","3,706.62","3,747.46","3,663.23","3,711.17","3,711.17","28,018,113,530"
"Nov 30, 2024","3,593.60","3,739.93","3,572.25","3,705.71","3,705.71","30,670,867,436"
"Nov 29, 2024","3,579.91","3,647.26","3,538.45","3,593.49","3,593.49","27,622,629,486"
"Nov 28, 2024","3,656.61","3,664.88","3,531.87","3,579.81","3,579.81","32,362,724,276"
"Nov 27, 2024","3,326.03","3,687.01","3,303.57","3,657.25","3,657.25","43,383,987,191"
"Nov 26, 2024","3,412.95","3,461.29","3,255.54","3,326.52","3,326.52","39,902,959,158"
"Nov 25, 2024","3,364.60","3,545.28","3,304.09","3,413.54","3,413.54","51,544,793,988"
"Nov 24, 2024","3,397.00","3,451.80","3,288.43","3,363.66","3,363.66","27,901,454,185"
"Nov 23, 2024","3,331.65","3,499.37","3,317.65","3,396.22","3,396.22","38,835,184,688"
"Nov 22, 2024","3,360.65","3,428.46","3,262.81","3,331.60","3,331.60","36,775,716,442"
"Nov 21, 2024","3,072.06","3,388.54","3,035.85","3,361.05","3,361.05","51,619,069,348"
"Nov 20, 2024","3,111.12","3,159.95","3,032.60","3,072.19","3,072.19","29,785,491,216"
"Nov 19, 2024","3,208.25","3,222.00","3,070.36","3,111.38","3,111.38","29,823,634,432"
"Nov 18, 2024","3,075.72","3,225.13","3,052.49","3,207.86","3,207.86","35,445,557,613"
"Nov 17, 2024","3,133.31","3,160.15","3,039.25","3,075.66","3,075.66","28,348,163,224"
"Nov 16, 2024","3,089.74","3,218.09","3,073.29","3,133.27","3,133.27","26,650,658,846"
"Nov 15, 2024","3,059.53","3,130.70","3,016.14","3,103.04","3,103.04","32,701,369,872"
"Nov 14, 2024","3,192.52","3,240.27","3,032.97","3,058.95","3,058.95","35,743,352,141"
"Nov 13, 2024","3,244.54","3,337.88","3,121.67","3,192.60","3,192.60","52,010,205,682"
"Nov 12, 2024","3,375.15","3,444.15","3,211.20","3,246.26","3,246.26","56,686,078,066"
"Nov 11, 2024","3,191.66","3,389.53","3,109.77","3,374.81","3,374.81","55,417,771,668"
"Nov 10, 2024","3,130.73","3,249.91","3,073.25","3,191.33","3,191.33","47,418,730,187"
"Nov 9, 2024","2,962.79","3,156.37","2,957.18","3,131.14","3,131.14","29,210,133,088"
"Nov 8, 2024","2,895.60","2,983.74","2,889.48","2,962.30","2,962.30","32,303,261,101"
"Nov 7, 2024","2,724.01","2,918.74","2,701.59","2,895.59","2,895.59","35,352,318,438"
"Nov 6, 2024","2,422.54","2,743.96","2,421.81","2,724.17","2,724.17","41,887,574,364"
"Nov 5, 2024","2,397.04","2,478.62","2,380.60","2,422.65","2,422.65","17,894,057,485"
"Nov 4, 2024","2,456.10","2,488.35","2,359.58","2,397.03","2,397.03","17,110,200,696"
"Nov 3, 2024","2,491.09","2,495.44","2,411.40","2,456.43","2,456.43","15,667,779,706"
"Nov 2, 2024","2,512.21","2,522.36","2,471.96","2,491.07","2,491.07","9,639,457,439"
"Nov 1, 2024","2,515.87","2,583.78","2,467.82","2,511.89","2,511.89","20,215,438,328"
"Oct 31, 2024","2,657.21","2,667.56","2,501.57","2,515.80","2,515.80","19,760,409,505"
