Date,Open,High,Low,Close,Adj,Volume,Currency
"Jan 7, 2025","102,284.52","102,517.73","97,557.60","98,151.07","98,151.07","52,955,156,480",BTC-USD
"Jan 6, 2025","98,314.95","102,482.88","97,926.15","102,078.09","102,078.09","51,823,432,705",BTC-USD
"Jan 5, 2025","98,233.91","98,813.30","97,291.77","98,314.96","98,314.96","20,525,254,825",BTC-USD
"Jan 4, 2025","98,106.99","98,734.43","97,562.98","98,236.23","98,236.23","22,342,608,078",BTC-USD
"Jan 3, 2025","96,881.73","98,956.91","96,034.62","98,107.43","98,107.43","35,611,391,163",BTC-USD
"Jan 2, 2025","94,416.29","97,739.82","94,201.57","96,886.88","96,886.88","46,009,564,411",BTC-USD
"Jan 1, 2025","93,425.10","94,929.87","92,788.13","94,419.76","94,419.76","24,519,888,919",BTC-USD
"Dec 31, 2024","92,643.25","96,090.60","91,914.03","93,429.20","93,429.20","43,625,106,843",BTC-USD
"Dec 30, 2024","93,527.20","94,903.32","91,317.13","92,643.21","92,643.21","56,188,003,691",BTC-USD
"Dec 29, 2024","95,174.05","95,174.88","92,881.79","93,530.23","93,530.23","29,635,885,267",BTC-USD
"Dec 28, 2024","94,160.19","95,525.90","94,014.29","95,163.93","95,163.93","24,107,436,185",BTC-USD
"Dec 27, 2024","95,704.98","97,294.84","93,310.74","94,164.86","94,164.86","52,419,934,565",BTC-USD
"Dec 26, 2024","99,297.70","99,884.57","95,137.88","95,795.52","95,795.52","47,054,980,873",BTC-USD
"Dec 25, 2024","98,675.91","99,478.75","97,593.47","99,299.20","99,299.20","33,700,394,629",BTC-USD
"Dec 24, 2024","94,684.34","99,404.06","93,448.02","98,676.09","98,676.09","47,114,953,674",BTC-USD
"Dec 23, 2024","95,099.39","96,416.21","92,403.13","94,686.24","94,686.24","65,239,002,919",BTC-USD
"Dec 22, 2024","97,218.32","97,360.27","94,202.19","95,104.94","95,104.94","43,147,981,314",BTC-USD
"Dec 21, 2024","97,756.20","99,507.10","96,426.52","97,224.73","97,224.73","51,765,334,294",BTC-USD
"Dec 20, 2024","97,484.70","98,098.91","92,175.18","97,755.93","97,755.93","105,634,083,408",BTC-USD
"Dec 19, 2024","100,070.69","102,748.15","95,587.68","97,490.95","97,490.95","97,221,662,392",BTC-USD
"Dec 18, 2024","106,147.30","106,470.61","100,041.54","100,041.54","100,041.54","93,865,656,139",BTC-USD
"Dec 17, 2024","106,030.69","108,268.45","105,291.73","106,140.60","106,140.60","68,589,364,868",BTC-USD
"Dec 16, 2024","104,293.58","107,780.58","103,322.98","106,029.72","106,029.72","91,020,417,816",BTC-USD
"Dec 15, 2024","101,373.53","105,047.54","101,227.03","104,298.70","104,298.70","51,145,914,137",BTC-USD
"Dec 14, 2024","101,451.44","102,618.88","100,634.05","101,372.97","101,372.97","40,422,968,793",BTC-USD
"Dec 13, 2024","100,046.65","101,888.80","99,233.28","101,459.26","101,459.26","56,894,751,583",BTC-USD
"Dec 12, 2024","101,167.80","102,524.91","99,339.95","100,043.00","100,043.00","72,073,983,533",BTC-USD
"Dec 11, 2024","96,656.06","101,913.36","95,747.23","101,173.03","101,173.03","85,391,409,936",BTC-USD
"Dec 10, 2024","97,441.23","98,270.16","94,321.26","96,675.43","96,675.43","104,823,780,634",BTC-USD
"Dec 9, 2024","101,237.06","101,272.51","94,355.91","97,432.72","97,432.72","110,676,473,908",BTC-USD
"Dec 8, 2024","99,921.91","101,399.99","98,771.52","101,236.02","101,236.02","44,125,751,925",BTC-USD
"Dec 7, 2024","99,916.71","100,563.38","99,030.88","99,923.34","99,923.34","44,177,510,897",BTC-USD
"Dec 6, 2024","97,074.23","102,039.88","96,514.88","99,920.71","99,920.71","94,534,772,658",BTC-USD
"Dec 5, 2024","98,741.54","103,900.47","91,998.78","96,593.57","96,593.57","149,218,945,580",BTC-USD
"Dec 4, 2024","95,988.53","99,207.33","94,660.52","98,768.53","98,768.53","77,199,817,112",BTC-USD
"Dec 3, 2024","95,854.59","96,297.20","93,629.56","96,002.16","96,002.16","67,067,810,961",BTC-USD
"Dec 2, 2024","97,276.01","98,152.60","94,482.87","95,865.30","95,865.30","72,680,784,305",BTC-USD
"Dec 1, 2024","96,461.34","97,888.13","95,770.19","97,279.79","97,279.79","36,590,695,296",BTC-USD
"Nov 30, 2024","97,468.81","97,499.34","96,144.22","96,449.05","96,449.05","31,634,227,866",BTC-USD
"Nov 29, 2024","95,653.95","98,693.17","95,407.88","97,461.52","97,461.52","54,968,682,476",BTC-USD
"Nov 28, 2024","95,954.95","96,650.20","94,677.35","95,652.47","95,652.47","52,260,008,261",BTC-USD
"Nov 27, 2024","91,978.14","97,361.18","91,778.66","95,962.53","95,962.53","71,133,452,438",BTC-USD
"Nov 26, 2024","93,087.28","94,991.75","90,770.81","91,985.32","91,985.32","91,656,519,855",BTC-USD
"Nov 25, 2024","98,033.45","98,935.03","92,642.91","93,102.30","93,102.30","80,909,462,490",BTC-USD
"Nov 24, 2024","97,778.09","98,647.18","95,788.08","98,013.82","98,013.82","51,712,020,623",BTC-USD
"Nov 23, 2024","99,006.74","99,014.68","97,232.89","97,777.28","97,777.28","44,414,644,677",BTC-USD
"Nov 22, 2024","98,496.43","99,655.50","97,222.66","98,997.66","98,997.66","78,473,580,551",BTC-USD
"Nov 21, 2024","94,334.64","99,014.22","94,132.60","98,504.73","98,504.73","106,024,505,582",BTC-USD
"Nov 20, 2024","92,341.89","94,902.02","91,619.50","94,339.49","94,339.49","71,730,956,426",BTC-USD
"Nov 19, 2024","90,536.81","94,002.87","90,426.98","92,343.79","92,343.79","74,521,048,295",BTC-USD
"Nov 18, 2024","89,843.72","92,596.79","89,393.59","90,542.64","90,542.64","75,535,775,084",BTC-USD
"Nov 17, 2024","90,558.46","91,433.04","88,741.66","89,845.85","89,845.85","46,350,159,305",BTC-USD
"Nov 16, 2024","91,064.37","91,763.95","90,094.23","90,558.48","90,558.48","44,333,192,814",BTC-USD
"Nov 15, 2024","87,284.18","91,868.74","87,124.90","91,066.01","91,066.01","78,243,109,518",BTC-USD
"Nov 14, 2024","90,574.88","91,765.22","86,682.81","87,250.43","87,250.43","87,616,705,248",BTC-USD
"Nov 13, 2024","87,929.97","93,434.35","86,256.93","90,584.16","90,584.16","123,559,027,869",BTC-USD
"Nov 12, 2024","88,705.56","89,956.88","85,155.11","87,955.81","87,955.81","133,673,285,375",BTC-USD
"Nov 11, 2024","80,471.41","89,604.50","80,283.25","88,701.48","88,701.48","117,966,845,037",BTC-USD
"Nov 10, 2024","76,775.55","81,474.42","76,565.43","80,474.19","80,474.19","82,570,594,495",BTC-USD
"Nov 9, 2024","76,556.19","76,932.77","75,773.79","76,778.87","76,778.87","29,009,480,361",BTC-USD
"Nov 8, 2024","75,902.84","77,252.75","75,648.74","76,545.48","76,545.48","55,176,858,003",BTC-USD
"Nov 7, 2024","75,637.09","76,943.12","74,480.42","75,904.86","75,904.86","63,467,654,989",BTC-USD
"Nov 6, 2024","69,358.50","76,460.16","69,322.03","75,639.08","75,639.08","118,592,653,963",BTC-USD
"Nov 5, 2024","67,811.17","70,522.79","67,458.87","69,359.56","69,359.56","46,046,889,204",BTC-USD
"Nov 4, 2024","68,742.13","69,433.18","66,803.65","67,811.51","67,811.51","41,184,819,348",BTC-USD
"Nov 3, 2024","69,296.38","69,361.66","67,482.52","68,741.12","68,741.12","34,868,307,655",BTC-USD
"Nov 2, 2024","69,486.02","69,867.35","69,033.72","69,289.27","69,289.27","18,184,612,091",BTC-USD
"Nov 1, 2024","70,216.90","71,559.02","68,779.70","69,482.47","69,482.47","49,989,795,365",BTC-USD
"Oct 31, 2024","72,335.05","72,662.31","69,590.50","70,215.19","70,215.19","40,627,912,076",BTC-USD
"Oct 30, 2024","72,715.37","72,905.30","71,411.73","72,339.54","72,339.54","40,646,637,831",BTC-USD
"Oct 29, 2024","69,910.05","73,577.21","69,729.91","72,720.49","72,720.49","58,541,874,402",BTC-USD
"Oct 28, 2024","67,922.67","70,212.27","67,535.13","69,907.76","69,907.76","38,799,856,657",BTC-USD
"Oct 27, 2024","67,023.48","68,221.31","66,847.23","67,929.30","67,929.30","16,721,307,878",BTC-USD
"Oct 26, 2024","66,628.73","67,317.92","66,360.59","67,014.70","67,014.70","19,588,098,156",BTC-USD
"Oct 25, 2024","68,165.30","68,722.16","65,521.79","66,642.41","66,642.41","41,469,984,306",BTC-USD
"Oct 24, 2024","66,653.70","68,798.96","66,454.10","68,161.05","68,161.05","31,414,428,647",BTC-USD
"Oct 23, 2024","67,362.38","67,402.74","65,188.04","66,432.20","66,432.20","32,263,980,353",BTC-USD
"Oct 22, 2024","67,360.70","67,801.58","66,581.37","67,361.41","67,361.41","31,808,472,566",BTC-USD
"Oct 21, 2024","69,002.00","69,462.73","66,829.85","67,367.85","67,367.85","37,498,611,780",BTC-USD
"Oct 20, 2024","68,364.18","69,359.01","68,105.72","69,001.70","69,001.70","18,975,847,518",BTC-USD
"Oct 19, 2024","68,418.98","68,668.01","68,024.64","68,362.73","68,362.73","14,443,497,908",BTC-USD
"Oct 18, 2024","67,419.11","68,969.75","67,177.82","68,418.79","68,418.79","36,857,165,014",BTC-USD
"Oct 17, 2024","67,617.08","67,912.21","66,647.39","67,399.84","67,399.84","32,790,898,511",BTC-USD
"Oct 16, 2024","67,042.46","68,375.29","66,758.73","67,612.72","67,612.72","38,195,189,534",BTC-USD
"Oct 15, 2024","66,050.37","67,881.68","64,809.20","67,041.11","67,041.11","48,863,870,879",BTC-USD
"Oct 14, 2024","62,848.40","66,482.49","62,442.15","66,046.13","66,046.13","43,706,958,056",BTC-USD
